"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Meta Description 1","H1-1","H1-2","Title 1 Length","Title 1 Pixel Width","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1 Length","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX Largest Contentful Paint Time (ms)","CrUX Interaction to Next Paint (ms)","CrUX Cumulative Layout Shift","CrUX First Contentful Paint Time (ms)","Minify CSS Savings (ms)","Minify CSS Savings (Bytes)","Minify JavaScript Savings (ms)","Minify JavaScript Savings (Bytes)","Reduce Unused CSS Savings (ms)","Reduce Unused CSS Savings (Bytes)","Reduce Unused JavaScript Savings (ms)","Reduce Unused JavaScript Savings (Bytes)","JavaScript Execution Time (ms)","JavaScript Execution Time Category","Minimize Main-Thread Work (ms)","Minimize Main-Thread Work Category","Network Payload Size (Bytes)","User Timing Marks and Measures","Number of Redirects","Server Responds Quickly","Applies Text Compression","LCP Request Discovery","LCP Breakdown","Render Blocking Requests Savings (ms)","Preconnect Candidates Savings (ms)","Maximum Critical Path Latency (ms)","Use Efficient Cache Lifetimes Savings (Bytes)","Layout Shift Culprits","DOM Size","Improve Image Delivery Savings (Bytes)","Forced Reflow Savings (ms)","Legacy JavaScript Savings (Bytes)","Duplicated JavaScript (Bytes)","Font Display Savings (ms)","3rd Parties","Target Size","Content Width","Font Display Size","Viewport","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/arabic.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","641","641","641","0.246","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.245","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/arabic.png","2026-02-05 00:52:12"
"https://omnipress.com/newsletter-signup/","text/html; charset=UTF-8","200","OK","Indexable","","Omnipress Newsletter Signup - Omnipress","Sign up for monthly insights on abstract management, conference printing, training materials, and member publications. Get practical tips and resources to help you deliver education.","","","39","379","182","1124","","0","0","0","Join our mailing list today!","28","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://omnipress.com/newsletter-signup/","","","","","","346446","87462","87462","33.505","","37","7","5.286","66.567","Normal","0.887","1","1","98","294","288","0","100.000","58","37","0","5","5","0","","","","","a3e20e51872ea83eec0f74de6da3a138","1.390","","","","","en-US","1.1","37","2552.008","8210.438","13095.954","36859.406","1517.995","0.016","2208836","4170","204","6918633","189917","10","464072","69","341276","6","4669000","68","431192","15","0","0","823176","36","5459471","89","","","","","","0","0","0","0","450","190540","3720","2018296","4910.001","Poor","6408.456","Poor","6918634","0","Avoids redirects","Server responds quickly (observed 18 ms)","Applies text compression","1 issue found","4 resources found","3639","542","2883","490620","1 resource found","719","8916","0","26888","","25","15 resources found","100","","","100","","","","","","https://omnipress.com/newsletter-signup/","2026-02-05 00:52:11"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/korean.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","1742","1742","1742","0.667","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.018","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/korean.png","2026-02-05 00:52:12"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/slowakia.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","7063","7063","7063","2.706","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.257","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/slowakia.png","2026-02-05 00:52:13"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/bulgarian.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","3388","3388","3388","1.298","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.004","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/bulgarian.png","2026-02-05 00:52:12"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/italia.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","4097","4097","4097","1.569","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.022","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/italia.png","2026-02-05 00:52:12"
"https://omnipress.com/about-us/","text/html; charset=UTF-8","200","OK","Indexable","","About Omnipress - Omnipress","Learn about Omnipress—providing print and technology solutions for conferences, training programs, and publications with exceptional service and expertise.","About Omnipress","About Omnipress","27","268","155","973","","0","15","15","We believe in the value of your educational content","51","Developing our products","23","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://omnipress.com/about-us/","","","","","","367216","91969","91969","35.232","","385","75","5.133","48.026","Hard","1.550","1","1","98","296","288","0","100.000","67","37","0","17","16","0","","","","","e3eb08e716698bf689b37140da4910d2","1.309","","","","","en-US","1.1","53","2552.010","5872.943","3902.015","40986.848","1543.994","0.000","2194886","730","223","7788930","194247","10","473319","85","341281","6","4670509","68","1286669","19","0","0","822905","35","5496359","91","","","","","","0","0","0","0","730","182666","0","2012220","4673.729","Poor","6345.708","Poor","7788931","0","Avoids redirects","Server responds quickly (observed 20 ms)","Applies text compression","","2 resources found","3012","","4001","490660","1 resource found","951","10700","0","26889","","980","15 resources found","100","","","100","","","","","","https://omnipress.com/about-us/","2026-02-05 00:52:12"
"https://omnipress.com/wp-content/uploads/2019/08/asce_logo_white.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","8171","8171","8171","3.130","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.019","Mon, 09 Sep 2019 19:32:29 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/uploads/2019/08/asce_logo_white.png","2026-02-05 00:52:13"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/swedish.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","4305","4305","4305","1.649","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.260","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/swedish.png","2026-02-05 00:52:14"
"https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/macedonia.png","image/png","200","OK","Indexable","","","","","","0","0","0","0","","0","0","0","","0","","0","","","","","","","","","","7026","7026","7026","2.692","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.056","Mon, 05 Jan 2026 19:36:18 GMT","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://omnipress.com/wp-content/plugins/accessibility-onetap/assets/images/macedonia.png","2026-02-05 00:52:13"
