URL,,Type,L3M Clicks,L3M LY Clicks,YoY Δ %,L3M Impressions,L3M LY Impressions,YoY Δ %,L3M New Users,L3M_LY New Users,Δ Users %,L3M Key Events,L3M_LY Key Events,Δ Conv %
https://www.bankfivenine.com/personal/manage-personal-account/authorize-and-pay-overdrafts-debit-card-transactions/,/personal/manage-personal-account/authorize-and-pay-overdrafts-debit-card-transactions,Service,8,5,60%,413,743,-44%,6,6,0%,0,1,-100%
https://www.bankfivenine.com/personal/manage-personal-account/changes-to-debit-card/,/personal/manage-personal-account/changes-to-debit-card,Service,7,1,600%,332,194,71%,2,5,-60%,0,0,N/A
https://www.bankfivenine.com/personal/manage-personal-account/combine-account-statements/,/personal/manage-personal-account/combine-account-statements,Service,0,0,N/A,64,52,23%,0,2,-100%,0,0,N/A
https://www.bankfivenine.com/personal/manage-personal-account/increase-debit-card-limit/,/personal/manage-personal-account/increase-debit-card-limit,Service,19,15,27%,3387,2765,22%,18,14,29%,1,0,N/A
https://www.bankfivenine.com/personal/manage-personal-account/increase-mobile-deposit-limit/,/personal/manage-personal-account/increase-mobile-deposit-limit,Service,16,12,33%,1357,1923,-29%,8,12,-33%,0,0,N/A
https://www.bankfivenine.com/personal/manage-personal-account/request-check-images-or-statements/,/personal/manage-personal-account/request-check-images-or-statements,Service,1,5,-80%,180,187,-4%,1,2,-50%,0,0,N/A
https://www.bankfivenine.com/business/banking/,/business/banking,Service,20,7,186%,13822,1790,672%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/business/banking/business-mobile-banking/,/business/banking/business-mobile-banking,Service,1,0,N/A,327,195,68%,1,0,N/A,0,0,N/A
https://www.bankfivenine.com/personal/banking/cds-iras/,/personal/banking/cds-iras,Service,525,31,1594%,17858,10885,64%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/personal/banking/personal-checking/debit-cards/,/personal/banking/personal-checking/debit-cards,Service,30,34,-12%,1318,2168,-39%,42,35,20%,1,0,N/A
https://www.bankfivenine.com/business/banking/business-online-banking/business-online-bill-pay/,/business/banking/business-online-banking/business-online-bill-pay,Service,2,0,N/A,248,72,244%,1,1,0%,0,0,N/A
https://www.bankfivenine.com/business/cash-management/,/business/cash-management,Service,3,2,50%,1441,769,87%,28,56,-50%,0,2,-100%
https://www.bankfivenine.com/business/cash-management/ach-origination/,/business/cash-management/ach-origination,Service,15,7,114%,3276,633,418%,25,13,92%,0,0,N/A
https://www.bankfivenine.com/business/banking/business-bankers/,/business/banking/business-bankers,Service,3,5,-40%,320,459,-30%,5,0,N/A,0,0,N/A
https://www.bankfivenine.com/business/cash-management/business-mobile-banking-and-deposit/,/business/cash-management/business-mobile-banking-and-deposit,Service,0,0,N/A,4,0,N/A,1,0,N/A,0,0,N/A
https://www.bankfivenine.com/business/cash-management/commercial-online-bill-pay/,/business/cash-management/commercial-online-bill-pay,Service,3,0,N/A,185,15,1133%,2,0,N/A,0,0,N/A
https://www.bankfivenine.com/business/cash-management/express-deposit/,/business/cash-management/express-deposit,Service,5,13,-62%,405,4015,-90%,14,18,-22%,0,0,N/A
https://www.bankfivenine.com/business/cash-management/investment-sweep-account/,/business/cash-management/investment-sweep-account,Service,1,2,-50%,2547,7748,-67%,3,2,50%,0,0,N/A
https://www.bankfivenine.com/business/cash-management/merchant-services/,/business/cash-management/merchant-services,Service,3,4,-25%,253,88,188%,2,2,0%,0,0,N/A
https://www.bankfivenine.com/business/cash-management/payroll-services/,/business/cash-management/payroll-services,Service,4,5,-20%,647,1418,-54%,2,2,0%,1,0,N/A
https://www.bankfivenine.com/business/cash-management/positive-pay/,/business/cash-management/positive-pay,Service,4,1,300%,349,136,157%,3,2,50%,0,0,N/A
https://www.bankfivenine.com/business/cash-management/wire-origination/,/business/cash-management/wire-origination,Service,6,10,-40%,954,2175,-56%,4,9,-56%,0,0,N/A
https://www.bankfivenine.com/business/lending/,/business/lending,Service,3,7,-57%,1674,3479,-52%,72,13,454%,5,1,400%
https://www.bankfivenine.com/business/lending/business-credit-cards/,/business/lending/business-credit-cards,Service,15,14,7%,1596,2821,-43%,22,26,-15%,10,0,N/A
https://www.bankfivenine.com/business/lending/business-line-of-credit/,/business/lending/business-line-of-credit,Service,1,2,-50%,500,934,-46%,4,1,300%,0,0,N/A
https://www.bankfivenine.com/business/lending/commercial-real-estate-loans/,/business/lending/commercial-real-estate-loans,Service,5,13,-62%,824,1207,-32%,20,9,122%,1,1,0%
https://www.bankfivenine.com/business/lending/sba-loan-solutions/,/business/lending/sba-loan-solutions,Service,48,52,-8%,4683,19720,-76%,70,99,-29%,10,28,-64%
https://www.bankfivenine.com/business/lending/standby-letters-of-credit/,/business/lending/standby-letters-of-credit,Service,1,0,N/A,75,344,-78%,11,1,1000%,0,0,N/A
https://www.bankfivenine.com/personal/banking/,/personal/banking,Service,149,203,-27%,76804,68195,13%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/personal/banking/credit-cards/,/personal/banking/credit-cards,Service,114,75,52%,1666,5013,-67%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/personal/banking/current-rates/,/personal/banking/current-rates,Service,1128,1278,-12%,19114,16655,15%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/personal/banking/kids-accounts/good-savers-scholarship/,/personal/banking/kids-accounts/good-savers-scholarship,Service,26,17,53%,335,824,-59%,55,20,175%,0,0,N/A
https://www.bankfivenine.com/personal/banking/mobile-banking/manage-my-debit-card/,/personal/banking/mobile-banking/manage-my-debit-card,Service,11,11,0%,425,503,-16%,7,13,-46%,0,0,N/A
https://www.bankfivenine.com/personal/banking/money-market/,/personal/banking/money-market,Service,73,0,N/A,5167,0,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.bankfivenine.com/personal/banking/personal-savings-accounts/,/personal/banking/personal-savings-accounts,Service,64,91,-30%,9437,55661,-83%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
