Location,Page URL,GTM Trigger Path,Schema Type,Business Name,Address,Phone,Google Maps CID,Building/Landmark,Nearby Landmarks,Neighborhoods Served,Services Count,Lead Attorney
Kendall,https://www.familylawprotection.com/florida/locations/kendall/,/florida/locations/kendall/,LegalService,Vasquez de Lara Law Group - Kendall,"7700 N Kendall Dr, Suite 607, Miami, FL 33156",+1-305-600-5138,212952946677252547,Greenery Mall (1st Floor),Dadeland Mall,"Kendall, Dadeland, Pinecrest, South Miami, The Hammocks",7,Vanessa Vasquez de Lara
Downtown Miami,https://www.familylawprotection.com/florida/locations/downtown-miami/,/florida/locations/downtown-miami/,LegalService,Vasquez de Lara Law Group - Downtown Miami,"111 NE 1st St, 8th Floor - #8636, Miami, FL 33132",+1-786-933-7991,7798926999866152057,N/A,"Bayfront Park, Kaseya Center, Government Center","Downtown Miami, Brickell, Edgewater, Wynwood, Midtown, Design District",7,Vanessa Vasquez de Lara
Coral Gables,https://www.familylawprotection.com/florida/locations/coral-gables/,/florida/locations/coral-gables/,LegalService,Vasquez de Lara Law Group - Coral Gables,"201 Alhambra Cir, Suite 500, Coral Gables, FL 33134",+1-305-614-2135,12821060795505959230,N/A,"Coral Gables City Hall, Coral Gables Museum, Miracle Mile","Miracle Mile, South Miami, Coconut Grove, Brickell, The Roads",7,Vanessa Vasquez de Lara
Fort Lauderdale,https://www.familylawprotection.com/florida/locations/fort-lauderdale/,/florida/locations/fort-lauderdale/,LegalService,Vasquez de Lara Law Group - Fort Lauderdale,"500 E Broward Blvd, Suite 900, Fort Lauderdale, FL 33394",+1-954-947-6196,5a3aXPPjefUaFd4v9,N/A,"FLL Airport, Mills Pond Park, Broward County Courthouse","Las Olas, Victoria Park, Wilton Manors, Oakland Park, Pompano Beach, Lauderhill",7,Vanessa Vasquez de Lara
Miami Lakes,https://www.familylawprotection.com/florida/locations/miami-lakes/,/florida/locations/miami-lakes/,LegalService,Vasquez de Lara Law Group - Miami Lakes,"15450 New Barn Rd, Suite 200, Miami Lakes, FL 33014",+1-305-419-0120,9RMy9tY13PKfwt5q8,Arbor Place Office Building,"Hard Rock Stadium, Miami Lakes Town Center","Palm Springs North, Hialeah, Miami Gardens, Opa-locka, Country Club",7,Vanessa Vasquez de Lara
Pembroke Pines,https://www.familylawprotection.com/florida/locations/pembroke-pines/,/florida/locations/pembroke-pines/,LegalService,Vasquez de Lara Law Group - Pembroke Pines,"15800 Pines Blvd, Suite 300, Pembroke Pines, FL 33027",+1-954-324-2249,4632347678681435386,N/A,"Pembroke Lakes Mall, CB Smith Park","Hollywood, Miramar, Weston, Cooper City, Davie, Southwest Ranches",7,Vanessa Vasquez de Lara
