Content URL,Cluster ID,Views,Engaged sessions,Active users,Impressions,Clicks,GA4 Top30 (Views),GSC Top20 (Impr),High Performer Source,Is High Performer,Core Page Name,Suggested Target URL,Ahrefs Ref domains (live),Ahrefs Live rows,Ahrefs Quality-weighted,Ahrefs Top20 (Live backlinks),In Audited Blog Set (317),Effective URL (Resolved),Effective HTTP Code,Mapping Evidence
https://www.sterlinglawyers.com/wisconsin/blog/custody-shift-parental-rights/,CH-CUS,1,0,1,,,,,Ahrefs,Y,Child Custody,https://www.sterlinglawyers.com/wisconsin/child-custody/,1,1,0.2,Y,False,https://www.sterlinglawyers.com/wisconsin/child-custody/fathers-rights-wisconsin/,200.0,manual_effective_override
https://www.sterlinglawyers.com/wisconsin/blog/decoding-divorce-mediation-jefferson-county/,DIV,23,9,9,715.0,2.0,,Y,GSC,Y,Divorce,https://www.sterlinglawyers.com/wisconsin/divorce/,0,0,0.0,,True,https://www.sterlinglawyers.com/wisconsin/blog/decoding-divorce-mediation-jefferson-county/,,baseline_impl
https://www.sterlinglawyers.com/wisconsin/blog/divorce-and-the-cobra-act/,DIV,0,0,0,,,,,Ahrefs,Y,Divorce,https://www.sterlinglawyers.com/wisconsin/divorce/,1,2,0.4,Y,False,https://www.sterlinglawyers.com/wisconsin/divorce/divorce-and-the-cobra-act/,,backlink_mapping_file
https://www.sterlinglawyers.com/wisconsin/blog/do-the-court-records-from-a-divorce-become-public-record/,DIV,0,0,0,,,,,Ahrefs,Y,Divorce,https://www.sterlinglawyers.com/wisconsin/divorce/,2,4,0.8,Y,False,https://www.sterlinglawyers.com/wisconsin/divorce/do-the-court-records-from-a-divorce-become-public-record/,,backlink_mapping_file
https://www.sterlinglawyers.com/wisconsin/blog/fault-grounds-for-bed-and-board-divorce/,DIV,0,0,0,,,,,Ahrefs,Y,Divorce,https://www.sterlinglawyers.com/wisconsin/divorce/,1,1,0.2,Y,False,https://www.sterlinglawyers.com/wisconsin/divorce/fault-grounds-for-bed-and-board-divorce/,,gsc_slug_match
https://www.sterlinglawyers.com/wisconsin/blog/fighting-for-fair-assistance-with-milwaukee-child-support-lawyers/,CH-SUP,4,2,2,1461.0,2.0,,Y,GSC,Y,Child Support,https://www.sterlinglawyers.com/wisconsin/child-support/,0,0,0.0,,True,https://www.sterlinglawyers.com/wisconsin/blog/fighting-for-fair-assistance-with-milwaukee-child-support-lawyers/,,baseline_impl
https://www.sterlinglawyers.com/wisconsin/blog/glimpse-divorce-mediation-journey-brookfield-lawyers/,DIV,76,33,24,126.0,2.0,Y,,GA4,Y,Divorce,https://www.sterlinglawyers.com/wisconsin/divorce/,0,0,0.0,,True,https://www.sterlinglawyers.com/wisconsin/blog/glimpse-divorce-mediation-journey-brookfield-lawyers/,,baseline_impl
https://www.sterlinglawyers.com/wisconsin/blog/guiding-light-through-jefferson-uncontested-divorce-intricacies/,DIV,160,13,14,,,Y,,GA4,Y,Divorce,https://www.sterlinglawyers.com/wisconsin/divorce/,0,0,0.0,,True,https://www.sterlinglawyers.com/wisconsin/blog/guiding-light-through-jefferson-uncontested-divorce-intricacies/,,baseline_impl
https://www.sterlinglawyers.com/wisconsin/blog/harmonious-resolution-property-division-fond-du-lac-county/,PROP-DIV,266,58,59,,,Y,,GA4,Y,Property Division,https://www.sterlinglawyers.com/wisconsin/property-division/,0,0,0.0,,True,https://www.sterlinglawyers.com/wisconsin/blog/harmonious-resolution-property-division-fond-du-lac-county/,,baseline_impl
https://www.sterlinglawyers.com/wisconsin/blog/helping-children-divorce-separation/,DIV,0,0,0,,,,,Ahrefs,Y,Divorce,https://www.sterlinglawyers.com/wisconsin/divorce/,1,1,0.2,Y,False,https://www.sterlinglawyers.com/wisconsin/divorce/helping-children-divorce-separation/,404.0,manual_effective_override
